"","fcast..4..","X80.","X95.","X80..1","X95..1"
"1",123.334349446315,-120.639572082854,-249.791564656851,367.308270975483,496.46026354948
"2",315.604437610953,71.3163716207766,-58.0019189855707,559.892503601129,689.210794207476
"3",289.768613412115,45.311332497582,-84.0965350787835,534.225894326649,663.633761903014
"4",518.254201424715,273.728687374817,144.284699358461,762.779715474612,892.223703490968
"5",384.008281814973,139.469827284033,10.0189889908068,628.546736345913,757.997574639139
"6",362.09768885917,117.558474636325,-11.8927658135022,606.636903082014,736.088143531842
"7",335.628378663244,91.0636920999172,-38.4010325924399,580.19306522657,709.657789918927
"8",172.781510507812,-89.9594957220799,-229.046182826998,435.522516737704,574.609203842623
"9",309.023522965477,46.2613571876916,-92.8365311052688,571.785688743262,710.883577036222
"10",247.503891899126,-15.34360519301,-154.486665155173,510.351388991263,649.494448953426
"11",503.722746906628,240.696769073425,101.459227114169,766.74872473983,905.986266699086
"12",384.407272463597,121.095938383152,-18.2926620486409,647.718606544042,787.107206975835
"13",354.118221238148,90.4155738257087,-49.1801753711283,617.820868650587,757.416617847425
"14",330.350339901416,66.1639915057102,-73.6878135245019,594.536688297123,734.388493327335
"15",211.951323023526,-65.3379403496882,-212.126009580869,489.24058639674,636.028655627921
"16",313.680059003647,36.1054427407507,-110.833683185581,591.254675266542,738.193801192874
"17",280.390663109158,2.45839839282115,-144.670055188341,558.322927825495,705.451381406657
"18",441.372693992181,163.027082195974,15.6798158882094,719.718305788387,867.065572096152
"19",358.218519841576,79.4254882786897,-68.1586277465431,637.011551404462,784.595667429694
"20",339.498953778977,60.2482646519916,-87.5781206532919,618.749642905963,766.576028211246
"21",322.622076287684,42.9268601545471,-105.134843533281,602.317292420821,750.378996108649
"22",233.599039980392,-50.852576215785,-201.432166002957,518.050656176568,668.63024596374
"23",308.729039748195,24.0715579725717,-126.617010469456,593.386521523819,744.075089965847
"24",280.059842595209,-4.79079947201058,-155.581620795778,564.910484662429,715.701305986197
"25",409.163395065839,124.140377494312,-26.7416939094343,694.186412637367,845.068484041113
"26",346.089797110671,60.9208569606807,-90.0384611899799,631.258737260662,782.218055411322
"27",331.507407718807,46.2219665783657,-104.799023471321,616.792848859249,767.813838908936
"28",319.384867193755,34.0126222643184,-117.054318935563,604.757112123191,755.824053323072
"29",254.442318845701,-34.700122926849,-187.76288577698,543.584760618251,696.647523468383
"30",311.138474688997,21.9900177046521,-131.075929406257,600.286931673342,753.352878784251
"31",292.018004706041,2.86687263387239,-150.20049058299,581.16913677821,734.236499995072
"32",385.612133504169,96.4603169054155,-56.607408677932,674.763950102923,827.831675686271
"33",340.146033369704,50.9942145048059,-102.073512278166,629.297852234602,782.365579017574
"34",330.426935037891,41.2746456284051,-111.793330245825,619.579224447378,772.647200321608
"35",322.13842727651,32.9842941791007,-120.084657684561,611.292560373919,764.361512237581
"36",274.358522990831,-17.4785370069113,-171.967744580431,566.195582988573,720.684790562093
"37",316.830599522321,24.9687385702109,-129.533597835498,608.69246047443,763.19479688014
"38",302.557107353585,10.6729069175478,-143.841255296609,594.441307789622,748.955470003779
"39",373.243967160047,81.3406672779107,-73.1836055722736,665.147267042182,819.671539892367
"40",339.4776621084,47.5589435220866,-106.97349149705,631.396380694713,785.928815713849
"41",332.207413918534,40.2770537098066,-114.261544011975,624.137774127262,778.676371849044
"42",326.016237444782,34.0777922800441,-120.465085358919,617.95468260952,772.497560248483
"43",290.504550894216,-2.99017814588245,-158.356902703622,583.999279934314,739.366004492053
"44",321.871869677029,28.3649145522817,-127.008282103721,615.378824801776,770.752021457778
"45",311.186409291803,17.6738352160265,-137.702335932976,604.69898336758,760.075154516582
"46",363.038575887993,69.5244304052401,-85.8525725963667,656.552721370745,811.929724372352
"47",337.703106817332,44.1889313173182,-111.188087574467,631.217282317347,786.594301209132
"48",331.975533144066,38.4606423810022,-116.91675514817,625.49042390713,780.867821436302
"49",326.990335955134,33.4722708096215,-121.906807136112,620.508401100646,775.88747904638
"50",300.210922767906,6.07618449434511,-149.629340486199,594.345661041466,750.051186022011
"51",323.068807464393,28.930310633213,-126.777204007549,617.207304295574,772.914818936336
"52",314.687132532559,20.5402275540407,-135.171738091057,608.834037511077,764.546003156175
"53",352.880999055647,58.7201825982684,-96.9991473388949,647.041815513026,802.76114545019
"54",333.699080173903,39.5187601353467,-116.210894374031,627.879400212459,783.609054721837
"55",329.109310465993,34.9044811570836,-120.838147776294,623.314139774902,779.056768708279
"56",325.122189834994,30.8889633496426,-124.868698140895,619.355416320346,775.113077810883
"57",305.013874846516,10.5604478658556,-145.313780725611,599.467301827176,755.341530418642
"58",321.788118735125,27.313675368109,-128.571678626259,616.262562102141,772.147916096509
"59",315.44256233591,20.9452250157801,-134.952248305293,609.939899656041,765.837372977114
"60",343.664422556957,49.1435290541177,-106.766414156833,638.185316059797,794.095259270748
"61",329.39607841018,34.8521756805247,-121.069947879343,623.939981139836,779.862104699703
"62",326.002485215386,31.4372031309281,-124.49623797573,620.567767299843,776.501208406501
"63",323.097225355991,28.5130569501758,-127.430381971087,617.681393761806,773.624832683068
"64",308.266552182544,13.5583918238607,-142.450684472396,602.974712541228,758.983788837484
"65",320.84344741683,26.1276567011079,-129.885458862171,615.559238132553,771.572353695832
"66",316.289091271392,21.5672544620239,-134.449061709897,611.01092808076,767.02724425268
"67",337.427592977739,42.7012935265665,-113.317385025225,632.153892428911,788.172570980703
"68",327.039522305668,32.3102146549889,-123.710056341429,621.768829956348,777.789100952766
"69",324.734743299488,30.0036507417948,-126.017565127321,619.465835857181,775.487051726297
"70",322.799757042389,28.0678024798477,-127.953869707071,617.53171160493,773.553383791849
